id/num/stime/etime/czry/state/ckbh/volume/weight/height/scancnt
13a2ebc940f3447ab1da71b767822394/0/2025-10-02 13:30:00/\N/""/0/"D107"/\N/\N/\N/\N/
49704d01ccae401dba1e1ff1040be1ec/7678/2025-10-01 03:30:00/2025-10-01 03:35:06/""/1/"D107"/"7494.1"/"5995.28"/"16.84"/"465"/
1b8629a932b94790879876075ef3e077/7678/2025-10-01 03:15:00/2025-10-01 03:20:11/""/1/"D107"/"7518.9"/"6015.12"/"16.90"/"464"/
ecf42fb2e9864fea802039111b7245a5/7678/2025-10-01 03:00:00/2025-10-01 03:05:11/""/1/"D107"/"7494.4"/"5995.52"/"16.85"/"463"/
d52051556c7a4df482de3a83dae94a30/7678/2025-10-01 02:45:00/2025-10-01 02:50:11/""/1/"D107"/"7495.5"/"5996.4"/"16.85"/"462"/
5090ef396a22407bbb2ffc9a097b4cf7/7678/2025-10-01 02:30:00/2025-10-01 02:35:11/""/1/"D107"/"7527.0"/"6021.6"/"16.92"/"461"/
8b154b7912bf424ab5a83f67a09763a8/7678/2025-10-01 02:15:00/2025-10-01 02:20:11/""/1/"D107"/"7524.6"/"6019.68"/"16.91"/"460"/
84260808115347f9889621fc98bb38cd/7678/2025-10-01 02:00:00/2025-10-01 02:05:11/""/1/"D107"/"7509.2"/"6007.36"/"16.88"/"459"/
6922d3f76a554f8e9860bd3a3f3a0782/7678/2025-10-01 01:45:00/2025-10-01 01:50:11/""/1/"D107"/"7517.9"/"6014.32"/"16.90"/"458"/
b61bd622b13a4637beeb6447407134cc/7678/2025-10-01 01:30:00/2025-10-01 01:35:11/""/1/"D107"/"7560.8"/"6048.64"/"17.00"/"457"/
6df6304d64544572a84efa2a5df23ca6/7678/2025-10-01 01:15:00/2025-10-01 01:19:51/""/1/"D107"/"7547.6"/"6038.08"/"16.96"/"456"/
ff06a62d9f964e2d9669c2b4fa2c672c/7678/2025-10-01 01:00:00/2025-10-01 01:05:11/""/1/"D107"/"7528.0"/"6022.4"/"16.92"/"455"/
7ff35c91e0a34fd0a8a4610859486eb3/7678/2025-10-01 00:45:00/2025-10-01 00:50:06/""/1/"D107"/"7530.8"/"6024.64"/"16.93"/"454"/
0ad60e58b00249aa9d48f387a2dd6295/7678/2025-10-01 00:30:00/2025-10-01 00:35:01/""/1/"D107"/"7553.3"/"6042.64"/"16.98"/"453"/
0bba7d6d2c8342a386e425495e8c31dc/7678/2025-10-01 00:15:00/2025-10-01 00:20:11/""/1/"D107"/"7572.8"/"6058.24"/"17.02"/"452"/
34c4c2be5b1a493cb644707cbf9cf49b/7678/2025-10-01 00:00:00/2025-10-01 00:05:11/""/1/"D107"/"7603.6"/"6082.88"/"17.09"/"451"/
b508182ebf924d4eb9d0a27c51d95356/7678/2025-09-30 23:45:00/2025-09-30 23:50:16/""/1/"D107"/"7560.8"/"6048.64"/"17.00"/"450"/
